id,name,Math,Reading,Science,Accumulated
AUS,Australia,504,512,521,1537
AUT,Austria,506,490,506,1502
BEL,Belgium,515,509,505,1529
CAN,Canada,518,523,525,1566
CZE,Czech Republic,499,493,508,1500
DNK,Denmark,500,496,498,1494
FIN,Finland,519,524,545,1588
FRA,France,495,505,499,1499
DEU,Germany,514,508,524,1546
GRC,Greece,453,477,467,1397
HUN,Hungary,477,488,494,1459
ISL,Iceland,493,483,478,1454
IRL,Ireland,501,523,522,1546
ITA,Italy,485,490,494,1469
JPN,Japan,536,538,547,1621
KOR,South Korea,554,536,538,1628
LUX,Luxembourg,490,488,491,1469
MEX,Mexico,413,424,415,1252
NLD,Netherlands,523,511,522,1556
NZL,New Zealand,500,512,516,1528
NOR,Norway,489,504,495,1488
POL,Poland,518,518,526,1562
PRT,Portugal,487,488,489,1464
SVK,Slovakia,482,463,471,1416
ESP,Spain,484,488,496,1468
SWE,Sweden,478,483,485,1446
CHE,Switzerland,531,509,515,1555
TUR,Turkey,448,475,463,1386
GBR,United Kingdom,494,499,514,1507
USA,United States,481,498,497,1476
BRA,Brazil,389,407,402,1198
CHL,Chile,423,441,445,1309
EST,Estonia,521,516,541,1578
IDN,Indonesia,375,396,382,1153
ISR,Israel,466,486,470,1422
LVA,Latvia,491,489,502,1482
RUS,Russia,482,475,487,1444
SVN,Slovenia,501,481,514,1496
